;;;;;;;;
Nº;SRE;ESCOLA;INEP;EQUIPE RESPONSÁVEL;LATITUDE;LONGITUDE;IDEBES 2024;META 2025
1;BARRA DE SÃO FRANCISCO;EEEFM ECOPORANGA;32003005;GEM;-18,3724884;-40,8346091;4,63;
2;CACHOEIRO DE ITAPEMIRIM;EEEFM PRESIDENTE GETÚLIO VARGAS;32052529;GEM;-20,8419193;-41,1144427;4,94;
3;CACHOEIRO DE ITAPEMIRIM;EEEM CEI ATTILA DE ALMEIDA MIRANDA;32052103;GEM;-20,8423045;-41,12856382;4,83;
4;CARAPINA;EEEFM COLÉGIO ESTADUAL DO ESPÍRITO SANTO;32040067;GEM;-20,3182174;-40,3243934;4,37;
5;CARAPINA;EEEFM ALMIRANTE BARROSO;32041560;GEM;-20,2669944;-40,299434;4,31;
6;CARAPINA;EEEFM ELZA LEMOS ANDREATTA;32063199;GEM;-20,2765856;-40,3353965;4,26;
7;CARAPINA;EEEFM PROF. JOÃO LOYOLA;32035519;GEM;-20,1237235;-40,3079923;4,68;
8;CARAPINA;EEEFM MAJOR ALFREDO PEDRO RABAYOLLI;32040725;GEM;-20,3154936;-40,3580188;4,36;
9;CARAPINA;EEEFM IRMA MARIA HORTA;32040334;GEM;-20,2980884;-40,2941857;4,62;
10;CARAPINA;EEEFM JACARAIPE;32037180;GEM;-20,1390353;-40,1917817;4,08;
11;CARAPINA;CEEMTI FERNANDO DUARTE RABELO;32040784 ;GEM;-20,3094974;-40,2947334;4,50;
12;CARAPINA;EEEFM ANTONIO JOSE PEIXOTO MIGUEL;32074425;GEM;-20,0570696;-40,204429;4,97;
13;CARIACICA;EEEFM MARIA DE LOURDES POYARES LABUTO;32033796;GEM;-20,302642;-40,3936796;4,71;
14;CARIACICA;EEEFM JESUS CRISTO REI;32034652;GEM;-20,3492974;-40,4063497;4,55;
15;CARIACICA;EEEFM ANA LOPES BALESTRERO;32034016;GEM;-20,2892883;-40,37809;4,56;
16;CARIACICA;EEEFM JOSE VITOR FILHO;32034644;GEM;-20,33288001;-40,40792273;4,72;
17;CARIACICA;EEEFM SATURNINO RANGEL MAURO;32033940;GEM;-20,262265;-40,381915;4,48;
18;LINHARES;EEEM EMIR DE MACEDO GOMES;32022360;GEM;-19,3963821;-40,0634942;4,70;
