MUNICIPIO,REGIONAL_SRE
AFONSO CLÁUDIO,SRE Afonso Cláudio
CONCEIÇÃO DO CASTELO,SRE Afonso Cláudio
LARANJA DA TERRA,SRE Afonso Cláudio
BREJETUBA,SRE Afonso Cláudio
VENDA NOVA DO IMIGRANTE,SRE Afonso Cláudio
DOMINGOS MARTINS,SRE Afonso Cláudio
SANTA MARIA DE JETIBÁ,SRE Afonso Cláudio
BARRA DE SÃO FRANCISCO,SRE Barra de São Francisco
ÁGUIA BRANCA,SRE Barra de São Francisco
ECOPORANGA,SRE Barra de São Francisco
ÁGUA DOCE DO NORTE,SRE Barra de São Francisco
MANTENÓPOLIS,SRE Barra de São Francisco
CACHOEIRO DE ITAPEMIRIM,SRE Cachoeiro de Itapemirim
CASTELO,SRE Cachoeiro de Itapemirim
ICONHA,SRE Cachoeiro de Itapemirim
VARGEM ALTA,SRE Cachoeiro de Itapemirim
MUQUI,SRE Cachoeiro de Itapemirim
ATÍLIO VIVÁCQUA,SRE Cachoeiro de Itapemirim
RIO NOVO DO SUL,SRE Cachoeiro de Itapemirim
MIMOSO DO SUL,SRE Cachoeiro de Itapemirim
PRESIDENTE KENNEDY,SRE Cachoeiro de Itapemirim
ITAPEMIRIM,SRE Cachoeiro de Itapemirim
JERÔNIMO MONTEIRO,SRE Cachoeiro de Itapemirim
MARATAÍZES,SRE Cachoeiro de Itapemirim
VITÓRIA,SRE Carapina
SERRA,SRE Carapina
SANTA TERESA,SRE Carapina
FUNDÃO,SRE Carapina
CARIACICA,SRE Cariacica
VIANA,SRE Cariacica
MARECHAL FLORIANO,SRE Cariacica
SANTA LEOPOLDINA,SRE Cariacica
ALTO RIO NOVO,SRE Colatina
BAIXO GUANDU,SRE Colatina
COLATINA,SRE Colatina
ITAGUAÇU,SRE Colatina
ITARANA,SRE Colatina
GOVERNADOR LINDENBERG,SRE Colatina
MARILÂNDIA,SRE Colatina
PANCAS,SRE Colatina
SÃO DOMINGOS DO NORTE,SRE Colatina
SÃO ROQUE DO CANAÃ,SRE Colatina
GUAÇUÍ,SRE Guaçuí
ALEGRE,SRE Guaçuí
BOM JESUS DO NORTE,SRE Guaçuí
DIVINO DE SÃO LOURENÇO,SRE Guaçuí
DORES DO RIO PRETO,SRE Guaçuí
SÃO JOSÉ DO CALÇADO,SRE Guaçuí
APIACÁ,SRE Guaçuí
IÚNA,SRE Guaçuí
IBATIBA,SRE Guaçuí
IBITIRAMA,SRE Guaçuí
IRUPI,SRE Guaçuí
MUNIZ FREIRE,SRE Guaçuí
LINHARES,SRE Linhares
SOORETAMA,SRE Linhares
RIO BANANAL,SRE Linhares
ARACRUZ,SRE Linhares
IBIRAÇU,SRE Linhares
JOÃO NEIVA,SRE Linhares
NOVA VENÉCIA,SRE Nova Venécia
BOA ESPERANÇA,SRE Nova Venécia
VILA VALÉRIO,SRE Nova Venécia
SÃO GABRIEL DA PALHA,SRE Nova Venécia
VILA PAVÃO,SRE Nova Venécia
PINHEIROS,SRE Nova Venécia
MUCURICI,SRE Nova Venécia
PONTO BELO,SRE Nova Venécia
MONTANHA,SRE Nova Venécia
SÃO MATEUS,SRE São Mateus
JAGUARÉ,SRE São Mateus
CONCEIÇÃO DA BARRA,SRE São Mateus
PEDRO CANÁRIO,SRE São Mateus
VILA VELHA,SRE Vila Velha
GUARAPARI,SRE Vila Velha
ANCHIETA,SRE Vila Velha
PIÚMA,SRE Vila Velha
ALFREDO CHAVES,SRE Vila Velha
