SRE;MUNICÍPIO;INEP;ESCOLA;ANO;META;IDEBES
BARRA DE SÃO FRANCISCO;ECOPORANGA;32003005;EEEFM ECOPORANGA;2021;4,52;4,41
CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;32052529;EEEFM PRESIDENTE GETULIO VARGAS;2021;4,33;4,75
CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;32052103;EEEM CEI ATTILA DE ALMEIDA MIRANDA;2021;4,92;4,71
CARAPINA;VITORIA;32040067;EEEM COLEGIO ESTADUAL DO ESPIRITO SANTO;2021;4,03;3,96
CARAPINA;VITORIA;32041560;EEEFM ALMIRANTE BARROSO;2021;4,37;3,44
CARAPINA;VITORIA;32063199;EEEFM ELZA LEMOS ANDREATTA;2021;3,91;3,86
CARAPINA;SERRA;32035519;EEEFM PROF JOAO LOYOLA;2021;4,4;3,66
CARAPINA;VITORIA;32040725;EEEFM MAJOR ALFREDO PEDRO RABAYOLLI;2021;4,37;3,03
CARAPINA;VITORIA;32040334;EEEFM IRMA MARIA HORTA;2021;5,09;4,74
CARAPINA;SERRA;32037180;EEEFM JACARAIPE;2021;3,7;3,63
CARAPINA;VITORIA;32040784;CEEMTI PROF FERNANDO DUARTE RABELO;2021;5,16;4,96
CARAPINA;SERRA;32074425;EEEFM ANTONIO JOSE PEIXOTO MIGUEL;2021;4,42;4,62
CARIACICA;CARIACICA;32033796;EEEFM MARIA DE LOURDES POYARES LABUTO;2021;3,71;3,96
CARIACICA;CARIACICA;32034652;EEEFM JESUS CRISTO REI;2021;4,56;4,62
CARIACICA;CARIACICA;32034016;EEEFM ANA LOPES BALESTRERO;2021;3,95;4,28
CARIACICA;CARIACICA;32034644;EEEFM JOSE VITOR FILHO;2021;4,29;4,49
CARIACICA;CARIACICA;32033940;EEEFM SATURNINO RANGEL MAURO;2021;3,8;4,77
LINHARES;LINHARES;32022360;EEEM EMIR DE MACEDO GOMES;2021;4,76;4,22
LINHARES;ARACRUZ;32073330;EEEFM MISAEL PINTO NETTO;2021;4,76;4,38
SAO MATEUS;SAO MATEUS;32018169;EEEM CECILIANO ABEL DE ALMEIDA;2021;4,41;4,84
VILA VELHA;GUARAPARI;32043651;EEEFM ZENOBIA LEAO;2021;4,71;3,47
VILA VELHA;VILA VELHA;32039867;EEEM ORMANDA GONCALVES;2021;4,59;4,25
BARRA DE SÃO FRANCISCO;ECOPORANGA;32003005;EEEFM ECOPORANGA;2022;4,59;4,06
CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;32052529;EEEFM PRESIDENTE GETULIO VARGAS;2022;4,85;4,63
